MOA,Precision,Recall,F1
AKT,1.0,1.0,1.0
AURORA KINASE,0.6666666666666666,0.5,0.5714285714285714
CDK,1.0,1.0,1.0
EGFR,0.8,0.8888888888888888,0.8421052631578947
HDAC,0.85,1.0,0.918918918918919
HMGCR,1.0,1.0,1.0
JAK,1.0,1.0,1.0
MTOR,1.0,1.0,1.0
PARP,1.0,1.0,1.0
TOPOISOMERASE,1.0,0.25,0.4
TUBULIN,1.0,1.0,1.0
TYROSINE KINASE,1.0,1.0,1.0
VEGFR,1.0,1.0,1.0
