metric,mean,std
fold,3.0,1.5811388300841898
acc,0.6571428571428571,0.036350400078979196
precision,0.534474244850373,0.03055069677800624
recall,0.56754477004477,0.03744743015853728
f1,0.5347392927680852,0.03747789051194715
