moa,NIHOVCAR3_mean_dmso_mad_stratified_merge_tk_vegfr_keep_egfr,NIHOVCAR3_mean_dmso_mad_stratified_merge_tk_vegfr_keep_egfr,NIHOVCAR3_mean_dmso_mad_stratified_merge_tk_vegfr_keep_egfr,NIHOVCAR3_mean_standard_structure_merge_tk_vegfr_keep_egfr,NIHOVCAR3_mean_standard_structure_merge_tk_vegfr_keep_egfr,NIHOVCAR3_mean_standard_structure_merge_tk_vegfr_keep_egfr,NIHOVCAR3_median_dmso_mad_structure_merge_tk_vegfr_keep_egfr,NIHOVCAR3_median_dmso_mad_structure_merge_tk_vegfr_keep_egfr,NIHOVCAR3_median_dmso_mad_structure_merge_tk_vegfr_keep_egfr,NIHOVCAR3_median_standard_structure_merge_tk_vegfr_keep_egfr,NIHOVCAR3_median_standard_structure_merge_tk_vegfr_keep_egfr,NIHOVCAR3_median_standard_structure_merge_tk_vegfr_keep_egfr,NIHOVCAR3_median_dmso_zscore_stratified_merge_tk_vegfr_keep_egfr,NIHOVCAR3_median_dmso_zscore_stratified_merge_tk_vegfr_keep_egfr,NIHOVCAR3_median_dmso_zscore_stratified_merge_tk_vegfr_keep_egfr,NIHOVCAR3_mean_dmso_mad_structure_merge_tk_vegfr_keep_egfr,NIHOVCAR3_mean_dmso_mad_structure_merge_tk_vegfr_keep_egfr,NIHOVCAR3_mean_dmso_mad_structure_merge_tk_vegfr_keep_egfr,NIHOVCAR3_mean_dmso_zscore_stratified_merge_tk_vegfr_keep_egfr,NIHOVCAR3_mean_dmso_zscore_stratified_merge_tk_vegfr_keep_egfr,NIHOVCAR3_mean_dmso_zscore_stratified_merge_tk_vegfr_keep_egfr,NIHOVCAR3_mean_dmso_zscore_structure_merge_tk_vegfr_keep_egfr,NIHOVCAR3_mean_dmso_zscore_structure_merge_tk_vegfr_keep_egfr,NIHOVCAR3_mean_dmso_zscore_structure_merge_tk_vegfr_keep_egfr,NIHOVCAR3_median_standard_stratified_merge_tk_vegfr_keep_egfr,NIHOVCAR3_median_standard_stratified_merge_tk_vegfr_keep_egfr,NIHOVCAR3_median_standard_stratified_merge_tk_vegfr_keep_egfr,NIHOVCAR3_median_dmso_zscore_structure_merge_tk_vegfr_keep_egfr,NIHOVCAR3_median_dmso_zscore_structure_merge_tk_vegfr_keep_egfr,NIHOVCAR3_median_dmso_zscore_structure_merge_tk_vegfr_keep_egfr,NIHOVCAR3_mean_standard_stratified_merge_tk_vegfr_keep_egfr,NIHOVCAR3_mean_standard_stratified_merge_tk_vegfr_keep_egfr,NIHOVCAR3_mean_standard_stratified_merge_tk_vegfr_keep_egfr,NIHOVCAR3_median_dmso_mad_stratified_merge_tk_vegfr_keep_egfr,NIHOVCAR3_median_dmso_mad_stratified_merge_tk_vegfr_keep_egfr,NIHOVCAR3_median_dmso_mad_stratified_merge_tk_vegfr_keep_egfr
,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1
AKT,0.3401437451437451,0.311111111111111,0.3152924199983024,0.7575396825396825,0.9333333333333332,0.8322344322344322,0.6706410256410257,0.9666666666666668,0.7791729323308271,0.5501948051948051,0.7666666666666667,0.6335811247575954,0.399047619047619,0.3333333333333333,0.3592105263157894,0.6451948051948052,0.9333333333333332,0.7561085972850679,0.528974358974359,0.5111111111111112,0.5099165024861619,0.7295238095238095,0.9333333333333332,0.8125641025641025,0.6442424242424243,0.4888888888888888,0.5299572460563173,0.7171861471861473,0.9666666666666668,0.8138870932988581,0.4489285714285714,0.6444444444444445,0.5205536179278781,0.2274358974358974,0.2666666666666666,0.2438234623993137
AURORA KINASE,0.4472285285928464,0.6,0.5100187626395472,0.7547619047619047,0.5166666666666667,0.6048872180451127,0.7816666666666666,0.5166666666666667,0.6183838383838383,0.7914285714285715,0.5,0.6087400318979266,0.5670634920634922,0.6111111111111112,0.5848829533040059,0.7536507936507937,0.5166666666666667,0.607123870281765,0.5037315510999721,0.6,0.5370195195195195,0.8737012987012986,0.55,0.6687566742944318,0.4833211555534604,0.7111111111111111,0.5662518946624078,0.7357142857142858,0.4666666666666667,0.5705263157894737,0.5104210526315789,0.7333333333333333,0.5919079730920104,0.616240199429054,0.6222222222222222,0.6154226783174152
CDK,0.3446266968325792,0.1851851851851851,0.2399581813535301,0.4242611336032388,0.3619047619047618,0.3852864298394832,0.2598717948717949,0.1809523809523809,0.2131248895954778,0.3228244766505636,0.3619047619047618,0.3360031819424764,0.413997113997114,0.1629629629629629,0.2300080665556766,0.3416666666666667,0.3238095238095237,0.3295238095238095,0.535093984962406,0.3259259259259259,0.4028478284481659,0.4290476190476191,0.438095238095238,0.4290232415667955,0.5219047619047619,0.3481481481481481,0.4132516988644578,0.3098128995187819,0.2285714285714285,0.2621576443248269,0.5201249730661496,0.3407407407407407,0.4032594449575581,0.1583760683760683,0.0592592592592592,0.0855898755898755
EGFR,0.5950842081048031,0.8095238095238095,0.6816040900181337,0.6312502386680414,0.7555555555555555,0.6828138528138529,0.6538888888888889,0.6666666666666667,0.6565323565323565,0.6858011615203266,0.711111111111111,0.6939814562901393,0.5338434292212183,0.7999999999999999,0.6398116271856561,0.6355201525054467,0.674074074074074,0.6492619891776121,0.5536507936507936,0.7523809523809524,0.6296846394614068,0.5889768995372443,0.6592592592592593,0.6214975420060165,0.4911369332421963,0.7238095238095239,0.5801206507216384,0.6356308506308507,0.6074074074074074,0.6192368561680437,0.5505570773312709,0.7714285714285715,0.6415146891635359,0.6043528084818407,0.780952380952381,0.6777497370144145
HDAC,0.64788367778401,0.6444444444444445,0.6458066198682981,0.8211835783264355,0.7625,0.7892281350733568,0.6846065605112939,0.6083333333333334,0.643097657915366,0.7141414141414142,0.6333333333333334,0.6710408432147561,0.5401339184995129,0.591111111111111,0.5637487426307303,0.7286291486291487,0.6708333333333334,0.6984135889044725,0.6347986068323669,0.6222222222222222,0.6255324962966159,0.7058413764908725,0.6208333333333333,0.6596408671545877,0.6977912891705996,0.4177777777777778,0.5212206079852029,0.6414288580272187,0.6583333333333333,0.6468933430838097,0.8077905491698596,0.5599999999999999,0.6585752419085752,0.6381778790315376,0.5288888888888889,0.5639513350656727
HMGCR,0.2833333333333333,0.1,0.1304761904761904,0.1983333333333333,0.1333333333333333,0.1538239538239538,0.1,0.0333333333333333,0.05,0.08,0.1,0.0863636363636363,0.1119047619047619,0.1,0.104102564102564,0.1399999999999999,0.1333333333333333,0.1340909090909091,0.3066666666666667,0.3333333333333333,0.3173160173160173,0.1666666666666666,0.1,0.1244444444444444,0.1066666666666666,0.0666666666666666,0.0808080808080808,0.465,0.2333333333333333,0.2692207792207792,0.1138888888888888,0.2,0.1441269841269841,0.1133333333333333,0.1,0.106060606060606
JAK,0.2763736263736264,0.1809523809523809,0.2183692936634113,0.1621212121212121,0.16,0.1577577577577577,0.2678007518796992,0.2533333333333333,0.2569147709510204,0.196510743298669,0.2133333333333333,0.2036745196612369,0.3416666666666667,0.2095238095238095,0.2578658423819714,0.1833870773189658,0.2133333333333333,0.1950479422538246,0.2703673564287375,0.2095238095238095,0.2307777901413152,0.1385664335664335,0.1599999999999999,0.146587892394344,0.2101479188166494,0.1714285714285714,0.1878726536621273,0.2094577352472089,0.1866666666666666,0.195522037874979,0.2810744810744811,0.1809523809523809,0.2173194041884744,0.2538986503692386,0.1809523809523809,0.2102554463080778
MTOR,0.4023809523809524,0.1666666666666666,0.2253007518796992,0.9618181818181816,0.8333333333333334,0.8924901185770752,0.813562091503268,0.6333333333333333,0.6956550728964521,0.8267948717948718,0.6833333333333333,0.7409696969696971,0.29,0.05,0.0792986425339366,0.7627777777777778,0.5666666666666667,0.6487445887445887,0.44,0.1666666666666666,0.2280406899601946,0.8111111111111111,0.6333333333333334,0.7108225108225108,0.3512121212121212,0.1833333333333333,0.2325660699062233,0.9032467532467532,0.6833333333333333,0.7702288329519451,0.5433333333333333,0.2833333333333333,0.370374957000344,0.2044444444444444,0.1666666666666666,0.1835497835497835
PARP,0.6084935897435898,0.7333333333333333,0.6633086062011012,0.5083521550912855,0.5777777777777777,0.5368200904786271,0.4103030303030303,0.5222222222222221,0.4592137320044297,0.5050460880670775,0.7,0.5855058854539914,0.5707330489310467,0.6833333333333333,0.6213990118895779,0.4469696969696969,0.5333333333333334,0.4852380952380952,0.5882478632478632,0.6416666666666667,0.6134705882352941,0.4825396825396826,0.5333333333333334,0.5033307907449783,0.63458751393534,0.6333333333333333,0.6336524822695035,0.424622697563874,0.4444444444444445,0.4334168755221387,0.6167878787878788,0.675,0.6383474921068906,0.5326658526658525,0.625,0.5746780626780627
