moa,NIHOVCAR3_median_dmso_zscore_structure_merge_tk_egfr_vegfr,NIHOVCAR3_median_dmso_zscore_structure_merge_tk_egfr_vegfr,NIHOVCAR3_median_dmso_zscore_structure_merge_tk_egfr_vegfr,NIHOVCAR3_mean_dmso_mad_stratified_merge_tk_egfr_vegfr,NIHOVCAR3_mean_dmso_mad_stratified_merge_tk_egfr_vegfr,NIHOVCAR3_mean_dmso_mad_stratified_merge_tk_egfr_vegfr,NIHOVCAR3_median_standard_structure_merge_tk_egfr_vegfr,NIHOVCAR3_median_standard_structure_merge_tk_egfr_vegfr,NIHOVCAR3_median_standard_structure_merge_tk_egfr_vegfr,NIHOVCAR3_median_standard_stratified_merge_tk_egfr_vegfr,NIHOVCAR3_median_standard_stratified_merge_tk_egfr_vegfr,NIHOVCAR3_median_standard_stratified_merge_tk_egfr_vegfr,NIHOVCAR3_mean_dmso_mad_structure_merge_tk_egfr_vegfr,NIHOVCAR3_mean_dmso_mad_structure_merge_tk_egfr_vegfr,NIHOVCAR3_mean_dmso_mad_structure_merge_tk_egfr_vegfr,NIHOVCAR3_median_dmso_mad_stratified_merge_tk_egfr_vegfr,NIHOVCAR3_median_dmso_mad_stratified_merge_tk_egfr_vegfr,NIHOVCAR3_median_dmso_mad_stratified_merge_tk_egfr_vegfr,NIHOVCAR3_median_dmso_zscore_stratified_merge_tk_egfr_vegfr,NIHOVCAR3_median_dmso_zscore_stratified_merge_tk_egfr_vegfr,NIHOVCAR3_median_dmso_zscore_stratified_merge_tk_egfr_vegfr,NIHOVCAR3_median_dmso_mad_structure_merge_tk_egfr_vegfr,NIHOVCAR3_median_dmso_mad_structure_merge_tk_egfr_vegfr,NIHOVCAR3_median_dmso_mad_structure_merge_tk_egfr_vegfr,NIHOVCAR3_mean_standard_structure_merge_tk_egfr_vegfr,NIHOVCAR3_mean_standard_structure_merge_tk_egfr_vegfr,NIHOVCAR3_mean_standard_structure_merge_tk_egfr_vegfr,NIHOVCAR3_mean_dmso_zscore_stratified_merge_tk_egfr_vegfr,NIHOVCAR3_mean_dmso_zscore_stratified_merge_tk_egfr_vegfr,NIHOVCAR3_mean_dmso_zscore_stratified_merge_tk_egfr_vegfr,NIHOVCAR3_mean_dmso_zscore_structure_merge_tk_egfr_vegfr,NIHOVCAR3_mean_dmso_zscore_structure_merge_tk_egfr_vegfr,NIHOVCAR3_mean_dmso_zscore_structure_merge_tk_egfr_vegfr,NIHOVCAR3_mean_standard_stratified_merge_tk_egfr_vegfr,NIHOVCAR3_mean_standard_stratified_merge_tk_egfr_vegfr,NIHOVCAR3_mean_standard_stratified_merge_tk_egfr_vegfr
,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1
AKT,0.8095238095238095,0.8,0.7947985347985348,0.3161904761904762,0.3777777777777777,0.3299834368530021,0.7036147186147186,0.8333333333333333,0.7500009794127441,0.5155555555555555,0.3555555555555555,0.4115079365079365,0.5624242424242424,0.9666666666666668,0.7070494864612512,0.2758730158730159,0.2444444444444444,0.2576023391812865,0.3661688311688312,0.3777777777777777,0.3510903133618603,0.6255194805194806,0.8,0.6920256214373861,0.8047619047619048,0.9666666666666668,0.8696153846153847,0.5545121545121545,0.6222222222222221,0.5783333333333334,0.7676190476190475,1.0,0.8638461538461539,0.4382051282051281,0.6444444444444445,0.5145770245430941
AURORA KINASE,0.5239393939393939,0.5166666666666667,0.5185990338164251,0.4313110145668285,0.6555555555555556,0.5143315588264382,0.5856410256410257,0.5,0.5375584415584416,0.5081518088881827,0.7666666666666666,0.6098590063136242,0.6501010101010101,0.55,0.5949934123847167,0.4331002331002331,0.5888888888888889,0.4912280701754386,0.4696886446886447,0.6333333333333333,0.5360247595541713,0.5809090909090909,0.5,0.5360907208733295,0.6505194805194805,0.5,0.5597545246515498,0.4809982520260606,0.7666666666666667,0.5902273686188544,0.603030303030303,0.5166666666666667,0.5546583850931677,0.4101395730706075,0.7222222222222221,0.5217035558368632
CDK,0.2938182560473582,0.219047619047619,0.2498009730207872,0.3918767507002801,0.2814814814814814,0.3270760799484203,0.2809711183834605,0.3047619047619047,0.2881791522035424,0.4400410509031198,0.4518518518518519,0.4419172198735362,0.3705334450495741,0.4095238095238095,0.3866696308670216,0.2035897435897436,0.1037037037037037,0.137001287001287,0.3009324009324009,0.1629629629629629,0.2093595691356049,0.2323001949317738,0.2095238095238095,0.2182432432432432,0.3804761904761905,0.3904761904761905,0.3838062054089929,0.4358564398564398,0.4222222222222222,0.4237737130594273,0.3316491228070175,0.3238095238095238,0.3265910759442043,0.4924646174259177,0.4,0.4342554990137414
HDAC,0.6953939675988645,0.6958333333333333,0.6930651747006887,0.6024963382482179,0.6888888888888889,0.6420184908555049,0.7693328639324062,0.65,0.7030264588471822,0.6467545748225675,0.5066666666666666,0.5637785443171,0.6981395348837209,0.6958333333333334,0.6953076019489681,0.5472306055932605,0.6666666666666666,0.5960975641777548,0.5530452265627239,0.5288888888888889,0.539160343141806,0.6519359153174878,0.6083333333333333,0.6277815526025116,0.8433534706845094,0.8125,0.8260006141267484,0.6144011598691401,0.64,0.6240411845390388,0.6935317219012871,0.7083333333333333,0.6998441459931188,0.7242225859247136,0.6755555555555557,0.6980879308245036
HMGCR,0.2345454545454545,0.2,0.1933155080213903,0.2121428571428571,0.2333333333333333,0.21998001998002,0.3399999999999999,0.1999999999999999,0.2463636363636364,0.1553846153846153,0.1666666666666666,0.1574162679425837,0.0957042957042957,0.1666666666666666,0.1199333174565372,0.1372222222222222,0.1666666666666666,0.1487445887445887,0.1333333333333333,0.0666666666666666,0.0888888888888888,0.2066666666666666,0.1666666666666666,0.183030303030303,0.3333333333333333,0.1333333333333333,0.1888888888888888,0.1916666666666666,0.2,0.1923809523809523,0.1166666666666666,0.1,0.1015873015873015,0.1026262626262626,0.2333333333333333,0.1384012066365007
JAK,0.2905952380952381,0.2933333333333333,0.2862793670713582,0.1877838827838827,0.1142857142857142,0.1412067355677903,0.2153846153846153,0.2533333333333333,0.231005291005291,0.3392760180995474,0.238095238095238,0.2778323749178878,0.1784688995215311,0.16,0.1658280542986425,0.2730604921394395,0.2095238095238095,0.2346202561446464,0.3439069264069264,0.2476190476190476,0.2820253150335671,0.3453501400560224,0.2933333333333333,0.3113085124104614,0.214960529666412,0.2266666666666666,0.2197752963881996,0.2591575091575091,0.1714285714285714,0.20122511700605,0.1261183261183261,0.1066666666666666,0.1148099027409372,0.2048588863463005,0.2,0.2001525458668315
MTOR,0.9177777777777776,0.6833333333333333,0.7802688539530644,0.5833333333333333,0.2666666666666666,0.3576470588235294,0.8800000000000001,0.6833333333333333,0.7655502392344498,0.6333333333333333,0.2666666666666666,0.3655555555555555,0.8633116883116884,0.55,0.6650953470633105,0.2971428571428571,0.1333333333333333,0.1823013415892672,0.7333333333333333,0.1166666666666666,0.1948717948717948,0.7477428127428127,0.6166666666666667,0.6715746282702805,0.9618181818181816,0.8166666666666668,0.88300395256917,0.9,0.15,0.2486813186813186,0.977777777777778,0.5999999999999999,0.7347899159663865,0.7183333333333333,0.25,0.354593837535014
PARP,0.4575438596491228,0.4222222222222222,0.4376228501228502,0.5291029975208474,0.7,0.6016487144268536,0.4927777777777777,0.7666666666666667,0.5988095238095238,0.5824523635618089,0.6333333333333333,0.6060035421635536,0.548611111111111,0.5777777777777778,0.559030766778256,0.5343059918699519,0.625,0.5756045730074586,0.5303565288993543,0.6666666666666667,0.5883182437880905,0.4857853740462435,0.5222222222222223,0.4978438242917103,0.4870641359992272,0.6666666666666667,0.5574291881414916,0.580018833389245,0.7,0.6339999902264053,0.5112380952380953,0.5666666666666667,0.5338092344212295,0.5470712560386474,0.5833333333333333,0.5620327687041515
TOPOISOMERASE,0.1028571428571428,0.1333333333333333,0.1150974025974026,0.5035164835164835,0.45,0.4693014354066985,0.363030303030303,0.2666666666666667,0.3015502854633289,0.4426092404925357,0.5166666666666667,0.4545872746382083,0.302979797979798,0.2166666666666666,0.2475971258068445,0.3238076416337286,0.3333333333333333,0.3047739820565907,0.2289998500524816,0.4833333333333333,0.3047652410840267,0.2461904761904761,0.2333333333333333,0.2253623958887116,0.6526532677848468,0.8166666666666667,0.7224828075150656,0.5071497584541063,0.55,0.5013756613756614,0.1883333333333333,0.2333333333333333,0.1979341736694677,0.5388704862389073,0.6499999999999999,0.5831435250116878
