moa,U2OS_median_dmso_mad_structure_as_is,U2OS_median_dmso_mad_structure_as_is,U2OS_median_dmso_mad_structure_as_is,U2OS_mean_dmso_mad_structure_as_is,U2OS_mean_dmso_mad_structure_as_is,U2OS_mean_dmso_mad_structure_as_is,U2OS_mean_standard_structure_as_is,U2OS_mean_standard_structure_as_is,U2OS_mean_standard_structure_as_is,U2OS_mean_dmso_zscore_structure_as_is,U2OS_mean_dmso_zscore_structure_as_is,U2OS_mean_dmso_zscore_structure_as_is,U2OS_mean_dmso_zscore_stratified_as_is,U2OS_mean_dmso_zscore_stratified_as_is,U2OS_mean_dmso_zscore_stratified_as_is,U2OS_median_dmso_zscore_stratified_as_is,U2OS_median_dmso_zscore_stratified_as_is,U2OS_median_dmso_zscore_stratified_as_is,U2OS_median_dmso_zscore_structure_as_is,U2OS_median_dmso_zscore_structure_as_is,U2OS_median_dmso_zscore_structure_as_is,U2OS_median_dmso_mad_stratified_as_is,U2OS_median_dmso_mad_stratified_as_is,U2OS_median_dmso_mad_stratified_as_is,U2OS_median_standard_structure_as_is,U2OS_median_standard_structure_as_is,U2OS_median_standard_structure_as_is,U2OS_median_standard_stratified_as_is,U2OS_median_standard_stratified_as_is,U2OS_median_standard_stratified_as_is,U2OS_mean_standard_stratified_as_is,U2OS_mean_standard_stratified_as_is,U2OS_mean_standard_stratified_as_is,U2OS_mean_dmso_mad_stratified_as_is,U2OS_mean_dmso_mad_stratified_as_is,U2OS_mean_dmso_mad_stratified_as_is
,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1
AKT,0.7948051948051947,0.9666666666666668,0.8642533936651585,0.7714285714285715,0.9666666666666668,0.8446153846153847,0.8928571428571429,1.0,0.9406593406593406,0.7928571428571429,0.9666666666666666,0.8673260073260073,0.5850032320620555,0.7333333333333333,0.6352831379147167,0.4808547008547008,0.6222222222222222,0.5380192906508696,0.6676190476190477,0.9666666666666668,0.7817948717948718,0.5072727272727272,0.5111111111111111,0.5042105263157894,0.8261904761904763,1.0,0.9006593406593406,0.4838961038961038,0.6666666666666666,0.5586335403726708,0.5505882352941176,0.6666666666666666,0.5786234817813766,0.5614285714285715,0.4888888888888889,0.5167403803626713
AURORA KINASE,0.5609523809523809,0.3833333333333333,0.4521758942811574,0.4857142857142857,0.3,0.3595864661654135,0.5290909090909091,0.4833333333333334,0.5047430830039525,0.6226190476190476,0.3333333333333333,0.4274644945697577,0.468825910931174,0.4111111111111111,0.4340883540586427,0.4304511278195488,0.4111111111111111,0.4176920341394026,0.4694505494505495,0.3833333333333333,0.4181052631578947,0.4054545454545454,0.4111111111111111,0.4024479555887691,0.4912964228753703,0.5,0.4883605875190728,0.5557333241471173,0.7555555555555556,0.6382867767231943,0.544821787670758,0.6777777777777778,0.6030326144960292,0.4815686274509804,0.4,0.4354475631894987
CDK,0.7376290376290376,0.4952380952380952,0.586673669467787,0.7307002801120448,0.4857142857142857,0.5810055441634389,0.6981605975723623,0.5714285714285714,0.6266193897772845,0.6771256684491977,0.5904761904761904,0.6286123242985051,0.4992221308700489,0.4888888888888889,0.492551724137931,0.4766902726902726,0.4814814814814815,0.4785799738530622,0.7326270805218174,0.5809523809523809,0.6436717801567156,0.5244034391534391,0.474074074074074,0.4945382724953586,0.6956209150326798,0.4666666666666666,0.5523077186914198,0.4162608695652173,0.3259259259259259,0.3630175733978743,0.4645925925925925,0.4444444444444445,0.454131054131054,0.484949214468396,0.4814814814814815,0.4810773253965335
EGFR,0.5946915113871636,0.4962962962962963,0.5401345271332756,0.664436026936027,0.6296296296296295,0.6439315462531529,0.5617948717948718,0.5111111111111111,0.5328359812728574,0.6718010225656402,0.6592592592592592,0.6640042850231529,0.5172275132275133,0.6571428571428571,0.5763152020447226,0.4847205387205386,0.5619047619047619,0.5198646219525896,0.6378989516230896,0.6518518518518519,0.6440627925533586,0.5071144781144781,0.5714285714285714,0.5362088529378721,0.5021860642550298,0.4444444444444445,0.4689688168411572,0.4262493154344486,0.5238095238095237,0.4686317685075449,0.4823427826653633,0.5809523809523809,0.5241587394273821,0.5411596424010218,0.6857142857142857,0.6044492753623187
HDAC,0.9159792145838658,0.8083333333333332,0.8583126279233063,0.9384970584970584,0.8291666666666668,0.8799320769722666,0.9271655328798186,0.875,0.8992646787126335,0.9510971416290565,0.8458333333333332,0.8940193738886147,0.8585134972041262,0.76,0.8053407352229869,0.829170101828616,0.8133333333333332,0.8199125064979611,0.9266666666666664,0.8375,0.8794593905393345,0.8366011042097998,0.8088888888888889,0.821951472012324,0.9319786741509128,0.825,0.8740878701227622,0.8844688644688645,0.7866666666666667,0.8315246609499483,0.9668082368082368,0.7555555555555555,0.8477062142915802,0.8490655987795577,0.7822222222222223,0.8134614198496501
HMGCR,0.7023809523809523,0.5,0.5678632478632478,0.8,0.8,0.7866666666666667,0.8066666666666666,0.6666666666666666,0.7266666666666666,0.8242857142857142,0.7666666666666666,0.7732933732933733,0.7414285714285714,1.0,0.8489010989010989,0.7714285714285715,0.8,0.7760439560439562,0.8333333333333333,0.8,0.7913419913419913,0.6599999999999999,0.7,0.6711038961038961,0.7088888888888889,0.7333333333333333,0.7157575757575757,0.7345238095238095,0.9666666666666668,0.8320879120879121,0.62,1.0,0.7633333333333334,0.8333333333333333,0.8666666666666666,0.8361904761904763
JAK,0.4954578754578755,0.4266666666666666,0.4562627257799671,0.4726307189542484,0.3733333333333333,0.4086183834605995,0.6457575757575758,0.4933333333333333,0.5538729096989966,0.6907536907536908,0.4666666666666667,0.5487382987382987,0.3697385620915033,0.2952380952380952,0.3261500321834083,0.2304369747899159,0.1904761904761904,0.2060437227027616,0.4315850815850816,0.3466666666666666,0.3839641839641839,0.252061827061827,0.1904761904761904,0.2123433112794814,0.5340701128936423,0.4133333333333334,0.458525641025641,0.3693366633366634,0.238095238095238,0.2785875983766009,0.3926203208556149,0.2952380952380952,0.3335365853658536,0.2336438923395445,0.2095238095238095,0.2172627372627373
MTOR,0.8418181818181818,0.9166666666666669,0.8629207677801027,0.8794117647058822,0.9166666666666666,0.8930284857571215,0.9051282051282052,0.9166666666666666,0.9099710144927536,0.8700711053652231,0.9166666666666666,0.885462052190688,0.8349206349206348,0.45,0.5751879699248119,0.7682539682539682,0.3666666666666667,0.482358838272151,0.8651515151515152,0.85,0.8517518713170886,0.75,0.4666666666666666,0.562857142857143,0.8728438228438229,0.9,0.8852463768115942,0.6856060606060607,0.4333333333333333,0.5239613526570048,0.7342857142857142,0.4833333333333333,0.5806698564593301,0.905,0.5333333333333334,0.661985176845858
PARP,0.5609914938862307,0.7333333333333334,0.6332912132912133,0.6061303258145363,0.7333333333333333,0.6614790857140919,0.6677761597670064,0.8111111111111112,0.731430454845089,0.619079809079809,0.7333333333333333,0.6687653866601235,0.5168024329314652,0.6583333333333333,0.5783905396289297,0.5344055944055943,0.6249999999999999,0.5747992202729045,0.5877615285323196,0.7444444444444445,0.6511052777010224,0.6348903326114721,0.7166666666666667,0.6718795069658177,0.7315509213718933,0.8,0.7567401874975687,0.4184415720040098,0.5833333333333333,0.4860028204090524,0.4692693419372185,0.5916666666666668,0.5214433900553266,0.5594405594405594,0.6833333333333333,0.6129145304421426
