moa,U2OS_mean_dmso_mad_stratified_merge_tk_vegfr_keep_egfr,U2OS_mean_dmso_mad_stratified_merge_tk_vegfr_keep_egfr,U2OS_mean_dmso_mad_stratified_merge_tk_vegfr_keep_egfr,U2OS_median_standard_stratified_merge_tk_vegfr_keep_egfr,U2OS_median_standard_stratified_merge_tk_vegfr_keep_egfr,U2OS_median_standard_stratified_merge_tk_vegfr_keep_egfr,U2OS_median_dmso_mad_stratified_merge_tk_vegfr_keep_egfr,U2OS_median_dmso_mad_stratified_merge_tk_vegfr_keep_egfr,U2OS_median_dmso_mad_stratified_merge_tk_vegfr_keep_egfr,U2OS_median_dmso_zscore_stratified_merge_tk_vegfr_keep_egfr,U2OS_median_dmso_zscore_stratified_merge_tk_vegfr_keep_egfr,U2OS_median_dmso_zscore_stratified_merge_tk_vegfr_keep_egfr,U2OS_median_dmso_zscore_structure_merge_tk_vegfr_keep_egfr,U2OS_median_dmso_zscore_structure_merge_tk_vegfr_keep_egfr,U2OS_median_dmso_zscore_structure_merge_tk_vegfr_keep_egfr,U2OS_mean_standard_structure_merge_tk_vegfr_keep_egfr,U2OS_mean_standard_structure_merge_tk_vegfr_keep_egfr,U2OS_mean_standard_structure_merge_tk_vegfr_keep_egfr,U2OS_mean_dmso_zscore_structure_merge_tk_vegfr_keep_egfr,U2OS_mean_dmso_zscore_structure_merge_tk_vegfr_keep_egfr,U2OS_mean_dmso_zscore_structure_merge_tk_vegfr_keep_egfr,U2OS_median_dmso_mad_structure_merge_tk_vegfr_keep_egfr,U2OS_median_dmso_mad_structure_merge_tk_vegfr_keep_egfr,U2OS_median_dmso_mad_structure_merge_tk_vegfr_keep_egfr,U2OS_mean_dmso_zscore_stratified_merge_tk_vegfr_keep_egfr,U2OS_mean_dmso_zscore_stratified_merge_tk_vegfr_keep_egfr,U2OS_mean_dmso_zscore_stratified_merge_tk_vegfr_keep_egfr,U2OS_mean_standard_stratified_merge_tk_vegfr_keep_egfr,U2OS_mean_standard_stratified_merge_tk_vegfr_keep_egfr,U2OS_mean_standard_stratified_merge_tk_vegfr_keep_egfr,U2OS_median_standard_structure_merge_tk_vegfr_keep_egfr,U2OS_median_standard_structure_merge_tk_vegfr_keep_egfr,U2OS_median_standard_structure_merge_tk_vegfr_keep_egfr,U2OS_mean_dmso_mad_structure_merge_tk_vegfr_keep_egfr,U2OS_mean_dmso_mad_structure_merge_tk_vegfr_keep_egfr,U2OS_mean_dmso_mad_structure_merge_tk_vegfr_keep_egfr
,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1
AKT,0.4873992673992674,0.5777777777777777,0.5128552606813477,0.5370714888826343,0.7555555555555554,0.6112992889463478,0.5168686868686869,0.5777777777777777,0.5427726178190574,0.4865934065934065,0.6222222222222221,0.5364566379911648,0.7914285714285715,1.0,0.8774725274725276,0.8142857142857143,1.0,0.8967032967032967,0.7928571428571429,0.9,0.8288267288267288,0.7295238095238095,1.0,0.8392307692307692,0.4862337662337662,0.5777777777777777,0.5225580254985289,0.4528271728271728,0.6666666666666666,0.537786561264822,0.8642857142857142,1.0,0.9252747252747252,0.7719480519480519,1.0,0.8604072398190047
AURORA KINASE,0.4335317932841153,0.4666666666666666,0.4464864864864865,0.4684183999270206,0.7555555555555556,0.5778508582588139,0.387094017094017,0.5444444444444445,0.4512599681020733,0.4256185038793735,0.5666666666666667,0.4855710414247,0.7423376623376624,0.4166666666666666,0.5164808673625473,0.7914285714285715,0.5,0.6087400318979266,0.7107142857142857,0.3833333333333334,0.4948400412796697,0.6535714285714286,0.3666666666666666,0.4593301435406698,0.4338751633281787,0.5777777777777777,0.4912504839334108,0.4600368663594469,0.7333333333333333,0.5645637729308104,0.637979797979798,0.5166666666666667,0.5701486918878222,0.6075757575757575,0.35,0.4317977915804002
CDK,0.4623002795416588,0.5037037037037038,0.4810082859139463,0.4475757575757575,0.3555555555555555,0.3950911428401148,0.5293225806451614,0.4814814814814815,0.5019334512968797,0.5040000000000001,0.5111111111111111,0.5071428571428571,0.7324886877828054,0.5047619047619047,0.5961816305469556,0.6805395842547546,0.5333333333333333,0.5966775045722414,0.7156862745098039,0.6285714285714286,0.6683914288535597,0.6949328449328449,0.5333333333333333,0.5995997290114937,0.5182050839659536,0.474074074074074,0.4915153797865662,0.5573065517932279,0.5407407407407407,0.5473205577384077,0.6305250305250306,0.419047619047619,0.4981656252244487,0.7524509803921569,0.5619047619047619,0.6397974713764187
EGFR,0.5507334428024083,0.6857142857142857,0.6091218574386277,0.4580235856097925,0.6095238095238095,0.5209718574768408,0.4777019969278034,0.5999999999999999,0.5283036160871071,0.4852931995540691,0.5809523809523809,0.5273006407993139,0.5713102525602526,0.6222222222222222,0.5927766969880017,0.5153899286987522,0.5703703703703704,0.538442163838525,0.6581241765480895,0.6888888888888889,0.6695153137079988,0.5679622769260531,0.5481481481481482,0.5555427921831864,0.5510865800865801,0.6095238095238095,0.578293931660969,0.5742577996715927,0.6476190476190476,0.6061990607483715,0.4547555693335744,0.4444444444444445,0.4467930064557698,0.6565128205128204,0.6666666666666666,0.6605275889287806
HDAC,0.875544575153197,0.7955555555555556,0.8328626681651985,0.9244820195284592,0.7511111111111111,0.82835589898271,0.8968125932656825,0.7777777777777778,0.8315572543606631,0.9079387729387728,0.8133333333333332,0.8572827043140897,0.9336263764048496,0.9083333333333334,0.92023967436974,0.8656742067456353,0.8708333333333332,0.8676096668160765,0.9372134606209428,0.8625,0.8980093952711898,0.900024154589372,0.8083333333333333,0.8509068031030969,0.8447515174344442,0.7644444444444444,0.8019357568056457,0.9828571428571428,0.7377777777777779,0.8426164341987127,0.8657578984162836,0.8541666666666667,0.8594594556019572,0.919142384410332,0.8541666666666667,0.8853046121316241
HMGCR,0.7976190476190477,0.9,0.8432234432234432,0.7761904761904762,0.9333333333333332,0.8405128205128205,0.6107142857142858,0.5,0.5313553113553113,0.8514285714285714,0.7333333333333333,0.7724941724941725,0.8095238095238095,0.4666666666666666,0.5487667887667887,0.7944444444444444,0.6333333333333334,0.6840404040404041,0.8833333333333332,0.5333333333333333,0.6622222222222222,0.72,0.3666666666666666,0.4757575757575757,0.8261904761904763,1.0,0.9006593406593406,0.6399999999999999,1.0,0.78,0.6155555555555555,0.5666666666666667,0.5783838383838383,0.9266666666666667,0.7333333333333333,0.8054545454545454
JAK,0.3090651213251832,0.1809523809523809,0.2241103232464463,0.3037878787878788,0.2,0.234630684991551,0.2487912087912087,0.1714285714285714,0.1999097950779488,0.3540902595856156,0.2666666666666666,0.3033327754999582,0.4823412698412698,0.4133333333333333,0.432232596637491,0.5743333333333334,0.5999999999999999,0.5719308087891537,0.5673748473748473,0.52,0.537901776384535,0.4553216374269005,0.4133333333333334,0.4242994652406417,0.4207602339181287,0.2761904761904762,0.3272727272727272,0.3919894598155467,0.2761904761904762,0.3184343434343434,0.4899248120300751,0.36,0.4001489950212059,0.4122249345082162,0.4133333333333334,0.4081040932502032
MTOR,0.9269841269841268,0.4833333333333334,0.6282765737874096,0.7357142857142858,0.45,0.555923141186299,0.72,0.4,0.5100201484102412,0.7227777777777779,0.3666666666666667,0.4769374416433241,0.9636363636363636,0.8333333333333334,0.892377188029362,0.8930481283422459,0.8833333333333334,0.88215892053973,0.8871794871794872,0.9333333333333332,0.902608695652174,0.8843822843822844,0.8833333333333332,0.8832463768115941,0.9333333333333332,0.4833333333333334,0.6283208020050125,0.8797619047619047,0.4666666666666667,0.5982485625829279,0.8552156177156178,0.9,0.8737225672877846,0.8944444444444445,0.9,0.8897891963109353
PARP,0.6012811424199923,0.6166666666666667,0.6066655110450537,0.4856266194975872,0.5583333333333333,0.517801624348939,0.5546141215106732,0.6083333333333333,0.5776154383701553,0.5483812483812484,0.5833333333333333,0.5644944586530264,0.5370256410256411,0.7888888888888889,0.6382840028188865,0.7092111592111593,0.8666666666666668,0.7780656770130454,0.510102564102564,0.711111111111111,0.5938789892278264,0.5296703296703297,0.7666666666666666,0.6254150197628459,0.5968253968253968,0.6666666666666667,0.6293363499245853,0.5379212103350034,0.6333333333333334,0.5812336909606609,0.6260476978218913,0.788888888888889,0.6905586477015048,0.5341818181818182,0.6666666666666666,0.5923339403528673
