moa,NIHOVCAR3_mean_dmso_mad_stratified_as_is,NIHOVCAR3_mean_dmso_mad_stratified_as_is,NIHOVCAR3_mean_dmso_mad_stratified_as_is,NIHOVCAR3_mean_standard_structure_as_is,NIHOVCAR3_mean_standard_structure_as_is,NIHOVCAR3_mean_standard_structure_as_is,NIHOVCAR3_mean_dmso_zscore_stratified_as_is,NIHOVCAR3_mean_dmso_zscore_stratified_as_is,NIHOVCAR3_mean_dmso_zscore_stratified_as_is,NIHOVCAR3_median_dmso_mad_structure_as_is,NIHOVCAR3_median_dmso_mad_structure_as_is,NIHOVCAR3_median_dmso_mad_structure_as_is,NIHOVCAR3_mean_standard_stratified_as_is,NIHOVCAR3_mean_standard_stratified_as_is,NIHOVCAR3_mean_standard_stratified_as_is,NIHOVCAR3_median_standard_structure_as_is,NIHOVCAR3_median_standard_structure_as_is,NIHOVCAR3_median_standard_structure_as_is,NIHOVCAR3_median_standard_stratified_as_is,NIHOVCAR3_median_standard_stratified_as_is,NIHOVCAR3_median_standard_stratified_as_is,NIHOVCAR3_median_dmso_zscore_stratified_as_is,NIHOVCAR3_median_dmso_zscore_stratified_as_is,NIHOVCAR3_median_dmso_zscore_stratified_as_is,NIHOVCAR3_median_dmso_mad_stratified_as_is,NIHOVCAR3_median_dmso_mad_stratified_as_is,NIHOVCAR3_median_dmso_mad_stratified_as_is,NIHOVCAR3_mean_dmso_zscore_structure_as_is,NIHOVCAR3_mean_dmso_zscore_structure_as_is,NIHOVCAR3_mean_dmso_zscore_structure_as_is,NIHOVCAR3_median_dmso_zscore_structure_as_is,NIHOVCAR3_median_dmso_zscore_structure_as_is,NIHOVCAR3_median_dmso_zscore_structure_as_is,NIHOVCAR3_mean_dmso_mad_structure_as_is,NIHOVCAR3_mean_dmso_mad_structure_as_is,NIHOVCAR3_mean_dmso_mad_structure_as_is
,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1
AKT,0.3491486291486291,0.311111111111111,0.3170105820105819,0.7166666666666666,0.9333333333333332,0.8057142857142857,0.6262987012987014,0.5333333333333332,0.5726470588235294,0.4958152958152958,0.7333333333333334,0.5895625942684767,0.6141330891330892,0.5777777777777777,0.5878490790255497,0.7533333333333333,0.9333333333333332,0.8261904761904761,0.5292857142857142,0.3777777777777777,0.4361344537815125,0.4584415584415584,0.3555555555555555,0.3919747899159663,0.3301587301587302,0.3111111111111111,0.3137301587301587,0.6457575757575758,1.0,0.7826050420168067,0.6317460317460318,0.8666666666666668,0.7283699633699634,0.591923076923077,0.8333333333333334,0.6681203007518797
AURORA KINASE,0.4576744892534367,0.5444444444444445,0.4942554259945565,0.7747619047619048,0.5,0.603025746183641,0.5595555555555556,0.6777777777777778,0.6067489460084319,0.7364285714285714,0.45,0.5535885167464115,0.478,0.5888888888888889,0.527062423500612,0.809090909090909,0.5,0.6110144927536232,0.5132691835900232,0.6777777777777778,0.5827718709646276,0.4512702472293265,0.4666666666666666,0.452247692401736,0.4402105263157894,0.4,0.4105313369848254,0.830952380952381,0.4666666666666667,0.5960233918128655,0.8683333333333334,0.45,0.5896732026143789,0.8564285714285713,0.5,0.6278018575851393
CDK,0.3352941176470588,0.1703703703703703,0.2212576896787423,0.3682406997886874,0.3333333333333333,0.3494359256490193,0.5,0.2962962962962963,0.3702744872221465,0.3439948287007111,0.238095238095238,0.2807489311514079,0.6216959511077158,0.2888888888888889,0.3855483266998609,0.2501188633348076,0.2666666666666666,0.2533994690229617,0.620944055944056,0.2962962962962963,0.3860750806133129,0.2983893557422969,0.1259259259259259,0.1742217132461035,0.1419047619047619,0.0518518518518518,0.0751346692523163,0.3694306913528881,0.3142857142857142,0.3360441625557904,0.362518315018315,0.238095238095238,0.2867826573708927,0.3780350877192983,0.3523809523809523,0.3627183705444575
EGFR,0.6564140786749482,0.7904761904761903,0.7134249325553672,0.774805418984942,0.7037037037037036,0.7342238126219909,0.6485546772068511,0.819047619047619,0.7206065772817691,0.6987063618642566,0.5555555555555556,0.6159426862532453,0.5858459949764299,0.7523809523809524,0.6505875159687589,0.708178451178451,0.5925925925925926,0.6391599374792654,0.5767989417989419,0.7238095238095237,0.6408016539949314,0.6301217858812529,0.7999999999999999,0.7017062911566603,0.6267501017501017,0.780952380952381,0.6949739470256187,0.6597738468428124,0.6518518518518519,0.6523594892502456,0.6909141229141229,0.6074074074074074,0.6442349438033903,0.7498325694383863,0.6222222222222222,0.674842823486216
HDAC,0.6308982487718768,0.6933333333333334,0.657994701438726,0.837863202545069,0.75,0.7904744311390258,0.5948445992016002,0.6977777777777778,0.641717408713745,0.7430656624312224,0.5916666666666667,0.6422877097353914,0.716604995374653,0.7155555555555555,0.7154717405356792,0.8085940300833918,0.6458333333333334,0.7160953692915296,0.563355992844365,0.5866666666666667,0.5732731450988129,0.4951006638260769,0.5333333333333334,0.5071902303694825,0.6183442433652695,0.6044444444444445,0.6078833376158717,0.6915761369177518,0.6416666666666668,0.6628283138020168,0.6610817111475532,0.675,0.666640434877517,0.7216828619181561,0.5625,0.6261579130346309
HMGCR,0.1566666666666666,0.1,0.1208080808080808,0.1307936507936508,0.1333333333333333,0.1301631701631701,0.3133333333333333,0.2333333333333333,0.2616161616161616,0.1545454545454545,0.1666666666666666,0.1483660130718954,0.125,0.1,0.1063492063492063,0.105,0.1333333333333333,0.1149350649350649,0.025,0.0333333333333333,0.0285714285714285,0.15,0.0666666666666666,0.09,0.1399999999999999,0.0666666666666666,0.0863636363636363,0.0931818181818181,0.1666666666666666,0.1187675070028011,0.1007936507936508,0.1333333333333333,0.1145787545787545,0.1994871794871794,0.3,0.2263613579403053
JAK,0.2181718281718281,0.1523809523809523,0.1757991675153318,0.0507936507936507,0.0266666666666666,0.0348484848484848,0.35,0.2285714285714285,0.2697375742537032,0.2719191919191919,0.2533333333333333,0.2577389277389277,0.2163461538461538,0.1428571428571428,0.1717011128775834,0.2285714285714285,0.24,0.2315665024630541,0.2390873015873015,0.1523809523809523,0.1846113646113646,0.3200894392844857,0.2761904761904761,0.2958670440955421,0.2327489177489177,0.238095238095238,0.2350769341580458,0.105532212885154,0.08,0.087887937344459,0.241060606060606,0.2,0.2165874460068008,0.153030303030303,0.1466666666666666,0.1457919457919458
MTOR,0.5846031746031747,0.2833333333333333,0.3751326846528084,0.8933333333333333,0.7833333333333334,0.8320346320346321,0.6066666666666667,0.1666666666666666,0.2540056022408963,0.8586363636363636,0.6333333333333333,0.720764163372859,0.8300000000000001,0.3166666666666666,0.4573529411764706,0.7886363636363637,0.75,0.7593788819875777,0.6842857142857143,0.25,0.3597987616099071,0.1244444444444444,0.0666666666666666,0.0851540616246498,0.5,0.1666666666666666,0.2414565826330532,0.875,0.6166666666666667,0.7173684210526317,0.9636363636363636,0.6833333333333333,0.7953187316116378,0.8567316017316017,0.6833333333333333,0.7531405589071494
PARP,0.5105655634687892,0.7,0.5900446030330062,0.4636868686868686,0.6444444444444444,0.5297231968810916,0.5299377451816476,0.7083333333333334,0.5994008097165991,0.5335981257491555,0.5555555555555556,0.5376613032100837,0.5379491476265669,0.6416666666666667,0.5839764446080236,0.6480549199084669,0.6555555555555556,0.6458605501288428,0.5228465608465609,0.6083333333333333,0.5616964734611793,0.5281026537422533,0.6583333333333333,0.5857372396995038,0.4796694350254721,0.65,0.5501430779551922,0.4965669371196755,0.5444444444444445,0.5134423668683599,0.4336826228467095,0.4,0.414465818981948,0.4659774436090226,0.5222222222222223,0.4913932440248229
