moa,HEPG2_new_median_standard_structure_merge_tk_egfr_vegfr,HEPG2_new_median_standard_structure_merge_tk_egfr_vegfr,HEPG2_new_median_standard_structure_merge_tk_egfr_vegfr,HEPG2_new_mean_dmso_zscore_structure_merge_tk_egfr_vegfr,HEPG2_new_mean_dmso_zscore_structure_merge_tk_egfr_vegfr,HEPG2_new_mean_dmso_zscore_structure_merge_tk_egfr_vegfr,HEPG2_new_median_dmso_mad_structure_merge_tk_egfr_vegfr,HEPG2_new_median_dmso_mad_structure_merge_tk_egfr_vegfr,HEPG2_new_median_dmso_mad_structure_merge_tk_egfr_vegfr,HEPG2_new_mean_dmso_mad_stratified_merge_tk_egfr_vegfr,HEPG2_new_mean_dmso_mad_stratified_merge_tk_egfr_vegfr,HEPG2_new_mean_dmso_mad_stratified_merge_tk_egfr_vegfr,HEPG2_new_mean_dmso_zscore_stratified_merge_tk_egfr_vegfr,HEPG2_new_mean_dmso_zscore_stratified_merge_tk_egfr_vegfr,HEPG2_new_mean_dmso_zscore_stratified_merge_tk_egfr_vegfr,HEPG2_new_median_standard_stratified_merge_tk_egfr_vegfr,HEPG2_new_median_standard_stratified_merge_tk_egfr_vegfr,HEPG2_new_median_standard_stratified_merge_tk_egfr_vegfr,HEPG2_new_mean_standard_structure_merge_tk_egfr_vegfr,HEPG2_new_mean_standard_structure_merge_tk_egfr_vegfr,HEPG2_new_mean_standard_structure_merge_tk_egfr_vegfr,HEPG2_new_median_dmso_mad_stratified_merge_tk_egfr_vegfr,HEPG2_new_median_dmso_mad_stratified_merge_tk_egfr_vegfr,HEPG2_new_median_dmso_mad_stratified_merge_tk_egfr_vegfr,HEPG2_new_mean_standard_stratified_merge_tk_egfr_vegfr,HEPG2_new_mean_standard_stratified_merge_tk_egfr_vegfr,HEPG2_new_mean_standard_stratified_merge_tk_egfr_vegfr,HEPG2_new_mean_dmso_mad_structure_merge_tk_egfr_vegfr,HEPG2_new_mean_dmso_mad_structure_merge_tk_egfr_vegfr,HEPG2_new_mean_dmso_mad_structure_merge_tk_egfr_vegfr,HEPG2_new_median_dmso_zscore_stratified_merge_tk_egfr_vegfr,HEPG2_new_median_dmso_zscore_stratified_merge_tk_egfr_vegfr,HEPG2_new_median_dmso_zscore_stratified_merge_tk_egfr_vegfr,HEPG2_new_median_dmso_zscore_structure_merge_tk_egfr_vegfr,HEPG2_new_median_dmso_zscore_structure_merge_tk_egfr_vegfr,HEPG2_new_median_dmso_zscore_structure_merge_tk_egfr_vegfr
,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1
AKT,0.2990367965367965,0.5,0.3629288358700123,0.2267676767676767,0.4333333333333333,0.2960644257703081,0.1533333333333333,0.1999999999999999,0.1716666666666667,0.4233766233766233,0.4,0.4052631578947368,0.3892857142857143,0.2666666666666666,0.3099547511312218,0.3766666666666666,0.3555555555555555,0.3530812324929972,0.3307936507936508,0.5333333333333333,0.4063247863247863,0.43508547008547,0.5333333333333334,0.471182412358883,0.5136796536796536,0.4888888888888888,0.4833333333333334,0.1996003996003996,0.3333333333333333,0.2450011907597046,0.3792424242424242,0.3555555555555555,0.3610644257703081,0.1577777777777777,0.1999999999999999,0.173030303030303
AURORA KINASE,0.3743740031897927,0.4166666666666667,0.3893514386501763,0.5210695006747639,0.5666666666666667,0.5318924731182796,0.45995670995671,0.3666666666666667,0.4023758392637111,0.3578318077803203,0.3111111111111111,0.324635510288308,0.2690692247861032,0.3,0.2796924924444521,0.2623986539776013,0.3333333333333333,0.2919898908686094,0.4587412587412587,0.4833333333333334,0.4672463768115942,0.3217673630717109,0.3555555555555555,0.3352441493038413,0.3857301341589266,0.3777777777777777,0.3794225700108053,0.3943589743589742,0.45,0.4118809523809523,0.2839899231203578,0.3444444444444444,0.3102953458814985,0.5517399267399268,0.4166666666666667,0.4620224921277553
CDK,0.2445719040684716,0.219047619047619,0.2291090305043793,0.2565600176584158,0.2476190476190476,0.250842294959942,0.0935005574136008,0.0761904761904761,0.0824717765894236,0.2735679779158039,0.1629629629629629,0.2010072962268084,0.3481351981351981,0.2,0.2478589006452783,0.327014652014652,0.2888888888888888,0.301039796827423,0.2813671735560791,0.3333333333333333,0.3042725390551478,0.2691682002208318,0.1481481481481481,0.1850880589017975,0.3354458874458874,0.3185185185185185,0.3250915750915751,0.2333660130718954,0.1619047619047618,0.1881045783932032,0.2740960020371785,0.1703703703703703,0.20903559072265,0.1845754855365839,0.1333333333333333,0.1526203208556149
HDAC,0.8508402774256432,0.6833333333333333,0.7575034006417191,0.7779511804721888,0.8166666666666668,0.7961588526021515,0.7563625205523639,0.8125,0.7823683798406043,0.6985594099193694,0.6444444444444444,0.6698003956827485,0.6563333026932622,0.6666666666666666,0.6611277450349577,0.805847580411475,0.5866666666666667,0.6758319629100947,0.8670547197588556,0.7541666666666667,0.8060779857899562,0.6647372723894462,0.6622222222222223,0.6623803097487307,0.7949262553913716,0.6799999999999999,0.7313083888357227,0.8285347614222994,0.825,0.826529909742764,0.6800531278768638,0.6888888888888889,0.6822478552549547,0.7427419085473798,0.7541666666666667,0.7481519262072707
HMGCR,0.4072649572649572,0.4333333333333333,0.3869674185463658,0.689047619047619,0.4666666666666667,0.5436208236208235,0.5883333333333333,0.3666666666666666,0.4273304473304473,0.2,0.0333333333333333,0.0571428571428571,0.0666666666666666,0.0333333333333333,0.0444444444444444,0.0833333333333333,0.0666666666666666,0.0733333333333333,0.3357142857142857,0.4333333333333333,0.3723076923076923,0.1,0.0333333333333333,0.05,0.0222222222222222,0.0333333333333333,0.0266666666666666,0.3809523809523809,0.3333333333333333,0.3475213675213675,0.2666666666666666,0.0666666666666666,0.1015873015873015,0.5438095238095237,0.4333333333333333,0.4772960372960373
JAK,0.245401966454598,0.2533333333333333,0.2466756817669596,0.0726190476190476,0.0666666666666666,0.0692291846908087,0.163328700285222,0.16,0.1581626479993086,0.2535610661268556,0.3523809523809523,0.2884652628249577,0.1880466639095671,0.2476190476190476,0.2122172709155412,0.3024766142274485,0.3523809523809523,0.3133259011519881,0.2543290043290043,0.1466666666666666,0.1790417688784294,0.1697399389635207,0.238095238095238,0.1973919635065747,0.2489508083935328,0.2857142857142857,0.2606155218554862,0.1,0.0933333333333333,0.096551724137931,0.1441006632451232,0.2,0.1664414815174693,0.1151211361737677,0.1466666666666666,0.1288770053475935
MTOR,0.7752164502164501,0.6333333333333333,0.6887795575896263,0.6142857142857142,0.6166666666666666,0.6112924112924112,0.5870480499892266,0.6333333333333334,0.6047457599871393,0.4805409356725146,0.7333333333333333,0.5795084485407066,0.5307936507936508,0.6499999999999999,0.5821652421652421,0.4770995670995671,0.8333333333333334,0.606662210338681,0.71998556998557,0.6833333333333333,0.6973642299729257,0.5658479532163743,0.8166666666666668,0.6661290322580645,0.529004329004329,0.8333333333333334,0.6442898306275915,0.6845571095571096,0.6333333333333333,0.6524637681159421,0.555952380952381,0.7333333333333334,0.6276007326007327,0.6627428127428127,0.5833333333333334,0.617072463768116
PARP,0.2940418834825072,0.4111111111111111,0.3365292491128357,0.410925925925926,0.3777777777777777,0.384411976911977,0.2536373499221797,0.2666666666666666,0.2573304069855794,0.2790185676392573,0.325,0.2997106918238993,0.370526512537382,0.45,0.4030371354761217,0.3006366047745358,0.3083333333333333,0.3030328377821639,0.3031312365795124,0.4888888888888889,0.3732114505500433,0.353611300979722,0.2833333333333333,0.3135796349654047,0.3328892128080769,0.3916666666666666,0.3570701103096445,0.2903599578656787,0.3222222222222222,0.3048600194941658,0.2732556935817805,0.2833333333333333,0.2757204340183063,0.3542599681020734,0.3444444444444444,0.3428382534944165
TOPOISOMERASE,0.4791657823242676,1.0,0.6459927539112506,0.7466666666666667,0.8833333333333334,0.8091168091168092,0.7254621848739496,1.0,0.8379559138179828,0.4609676364825106,0.6833333333333333,0.546671393123006,0.4950065359477124,0.6833333333333333,0.5597633370047163,0.4622693096377307,0.75,0.57110229429015,0.5150610969025291,0.85,0.6395020766927461,0.5057724628312864,0.75,0.598819749216301,0.4571448228414173,0.65,0.5360655872780457,0.6882936507936508,0.9,0.7730402930402931,0.5290225563909775,0.7333333333333333,0.612539288668321,0.7215601503759398,0.9833333333333332,0.8292134388908583
