fold,acc,precision,recall,f1
1,0.52,0.4991613186628035,0.4910843125128839,0.4815924967076845
2,0.48,0.4848542418775828,0.4554782519068233,0.45726919878645594
3,0.4666666666666667,0.43064237895272744,0.43017419088847664,0.4240588830646092
4,0.48444444444444446,0.4787766801635908,0.47312409812409806,0.46841549669633264
5,0.5244444444444445,0.5252009045376392,0.4954339311482169,0.4921107026146964
