moa,precision,recall,f1
HDAC,0.5571020153490984,0.6311111111111111,0.5896992591988376
HMGCR,0.2,0.03333333333333333,0.05714285714285714
PARP,0.29776085982982536,0.3666666666666667,0.3284218448071477
SERINE/THREONINE PROTEIN KINASE,0.5184288404627388,0.4793650793650793,0.4973924879270567
TOPOISOMERASE,0.4841176470588236,0.7166666666666666,0.5771305418719211
TUBULIN,0.7714285714285715,0.6444444444444445,0.6990196078431372
TYROSINE KINASE,0.4695622895622896,0.41818181818181815,0.4411281077288983
