fold,acc,precision,recall,f1
1,0.5921052631578947,0.577453454404674,0.586014911014911,0.5696720823478695
2,0.5701754385964912,0.5837285702802943,0.6020923520923521,0.5783238646875011
3,0.5701754385964912,0.6007372120479942,0.5617243867243867,0.5688070010797284
4,0.618421052631579,0.6487883473858229,0.6446729196729196,0.6269042274706652
5,0.5614035087719298,0.6002430318219791,0.5645863395863396,0.5624939797691083
