metric,mean,std
fold,3.0,1.5811388300841898
acc,0.4597402597402597,0.006420951071078488
precision,0.44619533015783297,0.02800027836227289
recall,0.41381393298059954,0.031137875697360408
f1,0.3971198103733814,0.022337902282507444
