fold,acc,precision,recall,f1
1,0.5131578947368421,0.5157671629445822,0.4954585537918872,0.4941654941498495
2,0.5570175438596491,0.5478623188405798,0.5621803350970018,0.543230836507186
3,0.5,0.4951813484014295,0.5027998236331569,0.48602015914354507
4,0.5789473684210527,0.6017726826088455,0.5723104056437389,0.5694796305378155
5,0.5307017543859649,0.5328525228525228,0.5200837742504408,0.5141693202381868
