moa,precision,recall,f1
HDAC,0.7000062794348508,0.768888888888889,0.7322880132993154
HMGCR,0.07936507936507936,0.13333333333333333,0.09743589743589744
PARP,0.47313247837638084,0.7250000000000001,0.5715916425788565
SERINE/THREONINE PROTEIN KINASE,0.5917714785220053,0.5460317460317461,0.5653264889330464
TOPOISOMERASE,0.7114285714285714,0.6166666666666667,0.6535885167464114
TUBULIN,0.4112265512265513,0.6666666666666666,0.505475040257649
TYROSINE KINASE,0.5164299728496691,0.35757575757575755,0.42103509917712173
