metric,mean,std
fold,3.0,1.5811388300841898
acc,0.5543859649122808,0.02139703669763242
precision,0.5615179566443813,0.031108805564687845
recall,0.5562367724867725,0.044757511933556815
f1,0.5463660927092595,0.03539609462762875
