moa,precision,recall,f1
HDAC,0.9163424518743668,0.8541666666666666,0.8827768975573973
HMGCR,0.6166666666666666,0.5333333333333333,0.5466666666666666
MTOR,0.9328671328671329,0.8666666666666666,0.8969486166007906
PARP,0.5898550724637681,0.7444444444444444,0.6550724637681159
TOPOISOMERASE,0.6498080495356038,1.0,0.7827021682416565
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.8892176091385817,0.8565656565656565,0.8723422254969677
