metric,mean,std
fold,3.0,1.5811388300841898
acc,0.4708333333333334,0.018266331163281444
precision,0.4237776966340393,0.024956086444717206
recall,0.40804917304917304,0.013950093355880482
f1,0.4089244816684413,0.01932741689093236
